REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
34;33077509;CE Honduras ;03.290.766/0001-46;7097 - 250422; R$ 2.837,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
35;33065284;CE Ignácio Azevedo Amaral  ;29.522.067/0001-78;1444 - 0000342386; R$ 15.347,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
36;33064644;CE Infante Dom Henrique;29.473.162/0001-29;3233 - 2231034; R$ 15.684,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
37;33067791;CE João Alfredo ;30.466.601/0001-55;1400 - 0000497096; R$ 23.586,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
38;33271208;CE José Leite Lopes;11.406.072/0001-50;6518 - 0000006815; R$ 10.281,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
39;33062668;CE Julia Kubitschek;29.505.393/0001-77;6746 - 0000001295; R$ 22.727,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
40;33077142;CE Mahatma Ghandi;03.124.162/0001-20;0831 - 0000079995; R$ 4.947,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
41;33065292;CE Manuel Bandeira;29.530.144/0001-31;1444 - 0000342300; R$ 4.600,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
42;33077525;CE Marechal Canrobert Pereira da Costa;02.904.024/0001-09;2957 - 0000141631; R$ 2.176,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
43;33173010;CE Maurício Azedo;23.792.081/0001-05;2819 - 614084; R$ 4.637,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
44;33063052;CE Mem de Sá;04.856.105/0001-06;3835 - 0000001554; R$ 1.700,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
45;33063400;CE México ;30.022.164/0001-80;6570 - 0000006610; R$ 1.700,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
46;33126755;CE Monteiro de Carvalho;05.343.705/0001-25;3835 - 0000001589; R$ 12.114,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
47;33066027;CE Nilo Peçanha ;00.849.347/0001-03;0279 - 0001818163; R$ 1.700,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
48;33066035;CE Olavo Bilac ;00.824.248/0001-77;3443 - 0000183083; R$ 17.048,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
49;33062919;CE Paulo de Frontin ;01.162.997/0001-49;0827 - 0000080640; R$ 20.877,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
50;33064652;CE Pedro Álvares Cabral ;30.496.178/0001-36;0446 - 0000490300; R$ 14.350,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
51;33077177;CE Presidente João Goulart  ;03.257.220/0001-93;6643 - 0000002283; R$ 4.821,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
52;33065217;CE Professor Antonio Maria Teixeira Filho;02.462.644/0001-27;0551 - 0000961507; R$ 9.065,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
53;33066612;CE Professor Clóvis Salgado ;11.802.135/0001-97;1790 - 0000338842; R$ 3.909,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
54;33066043;CE Professor Ernesto Faria ;30.028.823/0001-96;0279 - 0001819992; R$ 7.248,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
55;33125805;CE Professor Teófilo Moreira da Costa;11.503.934/0001-62;3232 - 0000120987; R$ 4.045,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
56;33134049;CE Professora Maria Terezinha de Carvalho Machado;11.307.718/0001-41;0952 - 0000064998; R$ 31.816,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
57;33062374;CE Reverendo Hugh Clarence Tucker ;02.253.652/0001-63;6017 - 0000000787; R$ 6.417,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
58;33077568;CE Rosa do Povo;02.760.292/0001-96;0582 - 0001090224; R$ 6.610,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
59;33072337;CE Sarmiento;12.529.395/0001-01;1400 - 0000496472; R$ 1.788,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
60;33077185;CE Senador Teotônio Vilela ;01.298.820/0001-74;7097 - 250384; R$ 3.396,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
61;33066620;CE Soares Pereira;02.110.754/0001-20;1434 - 0000539759; R$ 3.122,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
62;33062676;CE Souza Aguiar ;01.041.668/0001-40;1791 - 0000433004; R$ 10.995,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
63;33138648;CE Stella Matutina;08.017.199/0001-72;0952 - 0000064807; R$ 13.346,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
64;33062927;CE Tomás Antônio Gonzaga  ;30.273.767/0001-55;3835 - 0000001678; R$ 3.442,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
65;33087644;CE Vicente Jannuzzi ;30.479.281/0001-78;2949 - 0000220400; R$ 35.926,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
66;33077576;CE Victor Hugo;12.383.004/0001-85;6629 - 0000011053; R$ 5.733,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
67;33110638;CIEP 205 Frei Agostinho Fíncias;02.526.076/0001-80;7097 - 00250392; R$ 10.233,40 ;2021NE01448;2021NL01415;2021PD01758;IMPEDIDA
68;33102210;CIEP 241 Nação Mangueirense;02.266.852/0001-50;0583 - 0000528480; R$ 17.103,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
69;33105103;CIEP 303 Ayrton Senna da Silva;01.286.704/0001-35;0900 - 0000139394; R$ 18.936,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
70;33097283;CIEP 321 Doutor Ulysses Guimarães;01.114.515/0001-85;6875 - 0000004510; R$ 35.270,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
70;;RIO DE JANEIRO;;; R$ 687.072,00 ;;;;
70;;TOTAL DA REGIONAL METROPOLITANA VI;;; R$ 687.072,00 ;;;;
;;DIRETORIA REGIONAL METROPOLITANA VII;;;;;;;
ITEM;código;BELFORD ROXO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33046263;CAIC 1003 Dona Darcy Vargas;01.097.482/0001-02;1207 - 0000029580; R$ 9.573,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
2;33046743;CE Alice Paccini Gélio;00.969.669/0001-96;2284 - 0000029807; R$ 7.888,00 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
3;33047243;CE Bairro Jardim América;00.768.250/0001-76;1207 - 0000029602; R$ 10.322,40 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
4;33046751;CE Bairro Nova Aurora;00.738.349/0001-25;1207 - 0000029572; R$ 10.140,80 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
5;33046867;CE Bom Pastor;01.270.830/0001-00;2079 - 0000425303; R$ 7.318,00 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
6;33047910;CE Brandão Monteiro ;01.268.524/0001-20;1207 - 0000029734; R$ 12.240,40 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
7;33046247;CE Gustavo Barroso;00.923.806/0001-51;1207 - 0000029599; R$ 6.723,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
8;33047936;CE Jardim do Ipê ;01.262.933/0001-10;2284 - 0000027901; R$ 10.779,80 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
9;33046778;CE Jardim Gláucia ;00.673.619/0001-67;2051 - 0000314412; R$ 8.945,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
10;33047278;CE Marcílio Dias;00.780.160/0001-09;2079 - 0000424935; R$ 8.284,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
11;33047294;CE Nova Alvorada;01.879.244/0001-59;2079 - 0000424820; R$ 7.477,80 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
12;33047944;CE Parque Amorim;00.837.318/0001-21;1207 - 0000029726; R$ 4.690,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
13;33047308;CE Paulino Barbosa;00.900.081/0001-86;2079 - 0000424684; R$ 8.673,80 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
14;33047316;CE Presidente João Goulart ;00.914.262/0001-61;1207 - 0000029629; R$ 5.856,40 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
15;33046786;CE Presidente Kenedy;00.663.192/0001-16;1207 - 0000029645; R$ 20.331,40 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
16;33046794;CE Ricarda Leon;01.101.789/0001-30;2079 - 0000424900; R$ 12.219,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
17;33046816;CE Santa Amélia;00.768.262/0001-09;2079 - 0000424803; R$ 7.258,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
18;33047332;CE Santa Tereza;00.933.015/0001-02;2079 - 0000424960; R$ 9.796,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
19;33047324;CE São Bernardo;01.087.710/0001-63;2284 - 0000029602; R$ 14.371,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
20;33046808;CE Sargento Wolff;00.770.711/0001-45;2284 - 0000029394; R$ 11.920,80 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
21;33046824;CE Tenente Otávio Pinheiro;01.155.838/0001-17;1207 - 0000029670; R$ 9.340,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
22;33047928;CE Várzea da Alegria;00.836.005/0001-59;2284 - 0000029777; R$ 8.276,00 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
23;33047251;EE Castro Alves;01.082.092/0001-69;2079 - 0000424978; R$ 6.056,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
24;33047340;EE Vital Brasil;00.770.712/0001-90;2079 - 0000426016; R$ 6.862,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
25;33046603;CIEP 037 Ernesto Che Guevara;01.216.330/0001-81;2079 - 0000424609; R$ 10.469,00 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
26;33046654;CIEP 112 Mons.Solano Dantas de Menezes;01.142.841/0001-04;1207 - 0000033677; R$ 15.230,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
27;33046662;CIEP 116 Vila Maia;00.882.285/0001-31;1207 - 0000033669; R$ 9.081,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
28;33046514;CIEP 178 João Saldanha;00.947.179/0001-99;2079 - 0000424838; R$ 11.736,80 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
29;33046646;CIEP 197 Ministro Marcos da Barros Freire;01.212.279/0001-30;1207 - 0000029661; R$ 6.795,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
30;33047286;CIEP 210 Mario Alves de Souza Vieira;00.783.417/0001-78;2079 - 0000424927; R$ 15.634,80 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
31;33046522;CIEP 314 Galileu Galilei;01.262.313/0001-80;2079 - 0000424897; R$ 7.957,20 ;2021NE01441;2021NL01426;2021PD01783;IMPEDIDA
32;33046530;CIEP 316 General Ladário Pereira Telles;00.804.883/0001-92;2079 - 0000424889; R$ 16.578,80 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
33;33098131;CIEP 337 Berta Lutz;01.266.358/0001-23;0933 - 0000045853; R$ 8.428,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
34;33046620;CIEP 374 Augusto Rodrigues;00.830.509/0001-61;1207 - 0000029637; R$ 8.517,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
35;33046565;CIEP 375 Wilson Grey ;00.956.294/0001-20;1207 - 0000029700; R$ 13.616,40 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
36;33046573;CIEP 376 Cláudio Coutinho;01.273.999/0001-05;1207 - 0000029742; R$ 10.864,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
37;33046581;CIEP 377 Carmem da Silva;01.155.840/0001-96;2079 - 0000424641; R$ 6.644,20 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
38;33047960;CIEP 380 Joracy Camargo;01.252.540/0001-25;2079 - 0000425052; R$ 10.029,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
39;33094144;CIEP 388 Lazar Segal;00.937.293/0001-38;1207 - 0000029610; R$ 8.047,60 ;2021NE01438;2021NL01424;2021PD01782;2021LB17946
39;;BELFORD ROXO;;; R$ 384.978,80 ;;;;
ITEM;código;MESQUITA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33061246;CE Ana Néri;00.792.837/0001-10;2133 - 0000218324; R$ 9.987,20 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
2;33061149;CE Brasil;00.781.579/0001-77;2133 - 0000218707; R$ 13.004,40 ;2021NE01449;2021NL01429;2021PD01785;IMPEDIDA
3;33061165;CE Dom Pedro I;00.775.826/0001-22;2133 - 0000218405; R$ 22.696,40 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
4;33061173;CE Pierre Plancher;00.775.258/0001-60;2133 - 0000218332; R$ 16.759,20 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
5;33113319;CE Poeta Mário Quintana;02.084.090/0001-71;1642 - 0000344095; R$ 7.503,20 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
6;33061181;CE Presidente Castelo Branco;00.785.929/0001-73;2133 - 0000246646; R$ 13.383,00 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
7;33061203;CE Vila Bela;00.775.822/0001-44;2133 - 0000218308; R$ 17.223,00 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
8;33061122;CIEP 100 São Francisco de Assis;01.105.061/0001-86;2079 - 0000424919; R$ 4.200,00 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
9;33061106;CIEP 111 Gelson Freitas ;00.780.936/0001-82;2133 - 0000218383; R$ 14.717,20 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
10;33061084;CIEP 364 Nelson Ramos;00.786.591/0001-74;2133 - 0000218260; R$ 8.749,40 ;2021NE01446;2021NL01427;2021PD01784;2021LB17948
10;;MESQUITA;;; R$ 128.223,00 ;;;;
ITEM;código;NILÓPOLIS;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33054576;CE Antonio Figueira de Almeida;01.082.105/0001-08;1315 - 0000063932; R$ 27.018,80 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
2;33054584;CE Aydano de Almeida;01.082.109/0001-88;1315 - 0000063576; R$ 22.500,00 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
3;33054681;CE Bertha D’Alessandro;01.438.624/0001-58;1315 - 0000063975; R$ 10.112,40 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
4;33054592;CE João Cardoso;01.082.117/0001-24;1315 - 0000063800; R$ 6.933,80 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
5;33055025;CE Joaquim de Almeida Flores;01.082.112/0001-00;1642 - 0000343927; R$ 5.533,80 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
6;33055033;CE Marechal Zenóbio da Costa;01.082.108/0001-33;1315 - 0000063991; R$ 14.525,00 ;2021NE01454;2021NL01432;2021PD01787;IMPEDIDA
7;33054983;CE Nutha Bartlet James;01.131.273/0001-38;6872 - 0000001341; R$ 12.254,20 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
8;33054606;CE Professor Mário Campos ;01.082.110/0001-02;1642 - 0000343811; R$ 10.850,60 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
9;33054711;CE Professor Ubiratan Reis Barbosa;01.082.101/0001-11;1642 - 0000344052; R$ 9.011,60 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
10;33099049;CIEP 230 Ver. Manoel M. Gurgel da Silva;01.084.836/0001-84;1642 - 0000343765; R$ 12.005,40 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
11;33101078;CIEP 389 Haroldo Barbosa;01.884.542/0001-37;1642 - 0000344079; R$ 7.310,00 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
12;33054843;IE Carlos Pasquale ;01.082.111/0001-57;1642 - 0000343889; R$ 21.003,40 ;2021NE01451;2021NL01430;2021PD01786;2021LB17949
12;;NILÓPOLIS;;; R$ 159.059,00 ;;;;
ITEM;código;SÃO JOÃO DE MERITI;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33093156;CE Agostinho Porto ;00.840.760/0001-07;0544 - 0001381563; R$ 8.752,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
2;33092214;CE Antônio Gonçalves ;00.762.545/0001-35;0544 - 0001381598; R$ 7.055,80 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
3;33092222;CE Caetano Beloni ;00.635.129/0001-76;6730 - 0000001449; R$ 9.125,80 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
4;33093091;CE Casemiro Meirelles ;00.903.352/0001-57;0544 - 0001381440; R$ 7.946,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
5;33092443;CE Doutor Anibal Viriato de Azevedo ;00.877.009/0001-85;2051 - 0000314447; R$ 2.927,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
6;33092451;CE Doutor Oscar Pimenta Soares;00.771.478/0001-15;6730 - 0000015032; R$ 8.080,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
7;33093180;CE Duque Costa;00.924.163/0001-60;2051 - 0000314498; R$ 14.291,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
8;33093199;CE Governador Roberto Silveira;01.406.010/0001-94;0544 - 0001381520; R$ 6.642,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
9;33093458;CE Hilton Gama;31.997.489/0001-41;0544 - 0001381415; R$ 11.933,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
10;33092230;CE Jardim Meriti;00.623.449/0001-06;6867 - 0000000086; R$ 26.601,80 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
11;33092460;CE José do Patrocínio;01.292.848/0001-02;2051 - 0000314587; R$ 8.411,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
12;33092478;CE Pedro Álvares Cabral;01.168.443/0001-59;6730 - 0000001503; R$ 10.154,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
13;33092257;CE Professor Murilo Braga;01.298.056/0001-37;0544 - 0001381628; R$ 26.993,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
14;33093466;CE Professora Alzira dos Santos da Silva;01.439.039/0001-72;6730 - 0000001414; R$ 7.097,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
15;33092249;CE Professora Francisca Jeremias da Silveira Menezes;00.746.871/0001-59;6730 - 0000001902; R$ 6.867,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
16;33092427;CE Professora Regina Célia dos Reis Oliveira ;00.931.077/0001-85;0544 - 0001381580; R$ 6.629,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
17;33092516;CE Professora Sandra Maria dos Santos de Souza;00.866.981/0001-54;0544 - 0001381571; R$ 2.573,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
18;33092265;CE Rubens Farrulla ;00.637.627/0001-58;2051 - 0000314439; R$ 19.999,80 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
19;33092532;CE Vera Cruz ;00.761.424/0001-79;6730 - 0000001490; R$ 3.988,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
20;33093504;CE Visconde de Cairu;01.412.374/0001-87;0544 - 0001339656; R$ 6.652,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
21;33093202;EE Praça da Bandeira;01.185.483/0001-09;0544 - 0001381466; R$ 4.409,80 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
22;33093210;EE Professor Alfredo Maurício Brum;00.823.965/0001-84;6730 - 0000001473; R$ 4.989,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
23;33092508;EE Professora Odyla do Couto;00.834.310/0001-01;0544 - 02501457; R$ 5.067,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
24;33093482;EE São Francisco de Assis;01.507.353/0001-45;0544 - 0001339834; R$ 3.520,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
25;33104328;EE Vilar dos Teles;01.238.315/0001-34;2051 - 0000314706; R$ 8.537,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
26;33092168;CIEP 016  Abílio Henrique Correia ;00.830.565/0001-04;6730 - 0000001430; R$ 9.317,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
27;33093016;CIEP 029 Josué de Castro;01.180.792/0001-96;0544 - 0001381601; R$ 4.631,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
28;33093024;CIEP 030 Marinheiro João Cândido;00.832.754/0001-08;0544 - 0001381539; R$ 6.879,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
29;33092141;CIEP 114 Maria Gavázio Martins ;00.840.753/0001-05;2051 - 0000314455; R$ 9.609,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
30;33092184;CIEP 115 Antonio Francisco Lisboa;01.019.556/0001-92;2051 - 0000314480; R$ 17.213,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
31;33092206;CIEP 133 Oswaldo José Lourenço;00.783.841/0001-12;0544 - 0001381504; R$ 5.412,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
32;33092176;CIEP 135 Afonso Henrique Lima Barreto;01.266.368/0001-69;2051 - 0000314374; R$ 10.144,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
33;33093423;CIEP 139 Manuel Bandeira;00.926.461/0001-90;0544 - 0001381610; R$ 9.859,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
34;33104344;CIEP 169 Maria Augusta Correia;01.436.257/0001-53;6730 - 0000001422; R$ 18.596,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
35;33104352;CIEP 170 Gregório Bezerra;01.229.258/0001-27;2051 - 0000314471; R$ 11.972,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
36;33104379;CIEP 175 José Lins do Rego;00.862.576/0001-68;0544 - 0001381555; R$ 25.919,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
37;33104271;CIEP 397 Paulo Pontes;01.547.403/0001-18;0544 - 0001381547; R$ 9.500,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
38;33047979;CIEP 398 Mário Lima;01.266.359/0001-78;0544 - 0001339567; R$ 13.155,40 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
39;33104298;CIEP 399 Jean Baptista Debret ;00.979.776/0001-03;0544 - 0001339540; R$ 11.381,20 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
40;33104301;CIEP 400 Oswaldo de Andrade;01.219.018/0001-41;0544 - 0001381490; R$ 10.701,60 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
41;33092796;Instituto Educação Moysés Henrique dos Santos/CIEP 179 Claudio Gama;00.626.664/0001-60;6730 - 0000001481; R$ 23.380,00 ;2021NE01457;2021NL01433;2021PD01788;2021LB17951
41;;SÃO JOÃO DE MERITI;;; R$ 426.919,80 ;;;;
102;;TOTAL DA REGIONAL METROPOLITANA VII;;; R$ 1.099.180,60 ;;;;
;;DIRETORIA REGIONAL NOROESTE FLUMINENSE;;;;;;;
ITEM;código;APERIBÉ;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33004749;CE Lourença Guimarães;00.710.669/0001-77;6753 - 0000000787; R$ 6.616,40 ;2021NE01459;2021NL01435;2021PD01789;2021LB17953
2;33095647;CIEP 419 Benigno Bairral ;01.067.845/0001-67;6753 - 0000000760; R$ 5.581,40 ;2021NE01459;2021NL01435;2021PD01789;2021LB17953
2;;APERIBÉ;;; R$ 12.197,80 ;;;;
ITEM;código;BOM JESUS DO ITABAPOANA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33000115;CE Alcinda Lopes Pereira Pinto;00.784.591/0001-35;0998 - 0000192678; R$ 3.400,00 ;2021NE01461;2021NL01436;2021PD01790;2021LB17954
2;33000158;CE Euclides Feliciano Tardin ;00.770.692/0001-57;0998 - 0000192694; R$ 10.712,60 ;2021NE01461;2021NL01436;2021PD01790;2021LB17954
3;33000026;CE Governador Roberto Silveira;00.790.936/0001-63;0998 - 0000192767; R$ 4.481,00 ;2021NE01461;2021NL01436;2021PD01790;2021LB17954
4;33518220;CE Luiz Tito de Almeida;12.564.311/0001-62;0998 - 0000753556; R$ 4.000,00 ;2021NE01461;2021NL01436;2021PD01790;2021LB17954
5;33000662;CE Marcílio Dias ;00.790.935/0001-19;0998 - 0000192597; R$ 5.200,00 ;2021NE01461;2021NL01436;2021PD01790;2021LB17954
6;33000670;CE Maria da Conceição Pereira Pinto ;00.786.604/0001-05;0998 - 0000192716; R$ 4.200,00 ;2021NE01461;2021NL01436;2021PD01790;2021LB17954
7;33000042;CE Padre Mello;00.937.941/0001-56;0998 - 0000192732; R$ 7.267,80 ;2021NE01461;2021NL01436;2021PD01790;2021LB17954
8;33000360;IE Éber Teixeira de Figueiredo;00.770.688/0001-99;0998 - 0000192724; R$ 15.514,00 ;2021NE01461;2021NL01436;2021PD01790;2021LB17954
8;;BOM JESUS DO ITABAPOANA;;; R$ 54.775,40 ;;;;
ITEM;código;CAMBUCI;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33005478;CE Oscar Batista;30.400.261/0001-60;6758 - 0000001562; R$ 4.368,60 ;2021NE01462;2021NL01438;2021PD01791;2021LB17956
2;33005362;CE Waldemiro Pitta;00.692.832/0001-16;6758 - 01619; R$ 3.810,80 ;2021NE01462;2021NL01438;2021PD01791;2021LB17956
3;33004927;CIEP 276   Ernesto Paiva;00.684.655/0001-26;6758 - 01589; R$ 5.880,20 ;2021NE01462;2021NL01438;2021PD01791;2021LB17956
3;;CAMBUCI;;; R$ 14.059,60 ;;;;
ITEM;código;ITALVA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33001022;CE João Guimarães;00.803.373/0001-09;0863 - 0005511801; R$ 3.985,00 ;2021NE01465;2021NL01439;2021PD01792;IMPEDIDA
2;33001014;CIEP 141 Vereador Said Tanus José;00.803.369/0001-32;0863 - 0005511836; R$ 9.772,60 ;2021NE01466;2021NL01441;2021PD01793;IMPEDIDA
2;;ITALVA;;; R$ 13.757,60 ;;;;
ITEM;código;ITAOCARA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33005990;CE Frei Tomás;31.501.174/0001-61;2090 - 0000103217; R$ 9.800,20 ;2021NE01467;2021NL01444;2021PD01794;2021LB17959
2;33006571;CE Jaime Queiroz de Souza;00.760.562/0001-33;2090 - 0000103179; R$ 5.991,40 ;2021NE01467;2021NL01444;2021PD01794;2021LB17959
